id	Y	cap-shape	cap-surface	cap-color	bruises	odor	gill-attachment	gill-spacing	gill-size	gill-color	stalk-shape	stalk-root	stalk-surface-above-ring	stalk-surface-below-ring	stalk-color-above-ring	stalk-color-below-ring	veil-type	veil-color	ring-number	ring-type	spore-print-color	population	habitat
0	p	f	y	n	f	f	f	c	n	b	t	?	s	k	w	w	p	w	o	e	w	v	d
2	p	f	y	y	f	f	f	c	b	p	e	b	k	k	b	p	p	w	o	l	h	y	g
3	e	b	y	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	n	m
5	p	x	s	b	t	f	f	c	b	h	t	b	s	s	w	w	p	w	o	p	h	v	u
7	p	x	s	w	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	v	g
10	e	f	s	n	f	n	a	c	b	y	e	?	s	s	o	o	p	o	o	p	o	c	l
11	p	x	y	n	f	s	f	c	n	b	t	?	k	k	w	w	p	w	o	e	w	v	p
13	p	k	y	e	f	s	f	c	n	b	t	?	s	k	w	w	p	w	o	e	w	v	p
16	e	x	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g
19	p	f	y	e	f	f	f	c	n	b	t	?	s	k	w	w	p	w	o	e	w	v	d
21	e	x	f	n	t	n	f	c	b	u	t	b	s	s	p	p	p	w	o	p	n	v	d
24	e	f	y	n	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	k	s	g
25	p	x	f	y	f	f	f	c	b	h	e	b	k	k	b	n	p	w	o	l	h	y	g
26	e	k	s	g	f	n	f	w	b	g	e	?	k	k	w	w	p	w	t	p	w	n	g
27	p	x	y	y	f	f	f	c	b	h	e	b	k	k	p	p	p	w	o	l	h	y	d
28	e	f	y	e	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	k	y	d
35	e	b	s	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	m
40	p	x	s	n	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	s	u
41	p	x	s	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	s	u
43	p	f	y	y	f	f	f	c	b	g	e	b	k	k	b	p	p	w	o	l	h	y	p
46	e	f	f	n	t	n	f	c	b	p	t	b	s	s	p	p	p	w	o	p	k	v	d
47	p	x	s	n	f	s	f	c	n	b	t	?	s	k	p	w	p	w	o	e	w	v	p
52	e	f	s	w	f	n	f	w	b	n	t	e	s	s	w	w	p	w	o	e	k	s	g
53	e	x	y	e	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	k	v	d
54	e	x	y	g	t	n	f	c	b	w	t	b	s	s	g	p	p	w	o	p	n	v	d
55	p	x	f	g	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	v	p
56	p	x	f	y	f	f	f	c	b	g	e	b	k	k	p	n	p	w	o	l	h	v	p
58	p	x	s	g	t	f	f	c	b	h	t	b	f	f	w	w	p	w	o	p	h	v	g
60	e	b	s	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m
61	e	x	f	n	f	n	f	w	b	k	t	e	f	f	w	w	p	w	o	e	k	s	g
62	e	x	f	y	t	l	f	w	n	n	t	b	s	s	w	w	p	w	o	p	n	v	d
63	p	x	y	g	f	f	f	c	b	p	e	b	k	k	b	n	p	w	o	l	h	v	d
68	e	x	f	n	f	n	f	w	b	k	t	e	f	f	w	w	p	w	o	e	n	s	g
71	p	x	f	g	f	f	f	c	b	p	e	b	k	k	n	p	p	w	o	l	h	y	p
73	p	x	s	n	f	f	f	c	n	b	t	?	s	s	w	p	p	w	o	e	w	v	d
74	e	f	s	n	f	n	f	w	b	p	t	e	s	f	w	w	p	w	o	e	n	s	g
75	e	x	f	g	t	n	f	c	b	u	t	b	s	s	g	w	p	w	o	p	n	y	d
76	p	f	s	g	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	s	u
77	e	x	y	n	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	n	v	d
78	p	x	y	n	f	y	f	c	n	b	t	?	k	s	p	p	p	w	o	e	w	v	d
79	p	x	s	n	f	f	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	d
80	p	f	y	n	f	f	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	p
81	e	x	s	w	f	n	f	w	b	p	e	?	s	k	w	w	p	w	t	p	w	n	g
82	e	k	s	n	f	n	a	c	b	o	e	?	s	s	o	o	p	o	o	p	b	c	l
83	e	x	y	e	t	n	f	c	b	p	t	b	s	s	g	p	p	w	o	p	n	v	d
86	e	k	s	w	f	n	f	w	b	w	e	?	s	k	w	w	p	w	t	p	w	n	g
